Service description,Service ID,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Cloud SQL,9662-B51E-5089,5.85,0.00,-5.85,0.000028,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,0.15,0.00,-0.15,0.000001,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,0.01,-0.01,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,0.13,-0.13,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,5.57,0.00,-5.57,-0.000029,-0.00,0%
,,,,Subtotal,0.000000,0.00
,,,,Tax,0.000000,0.00
,,,,Total,0.000000,0.00
